variable,source,description,camels,nan_rate
CBLRAPDL,FTS,ACL PCD LNLS - CBLR,UNASSIGNED,0.4452
CBLRAPDO,FTS,ACL PCD OFA - CBLR,UNASSIGNED,0.4452
CBLRAPDS,FTS,ACL PCD HTM SEC - CBLR,UNASSIGNED,0.4452
CBLRAST,FTS,TOTAL ASSETS - CBLR,UNASSIGNED,0.4452
CBLRATRR,FTS,ATR RESERVE - CBLR,UNASSIGNED,0.4452
CBLRIND,FTS,CBLR INDICATOR,UNASSIGNED,0.4451
CBLROBSP,FTS,TOT OFF BS EXPOS PERCENT-CBLR,UNASSIGNED,0.4452
CBLROBST,FTS,OFF BS EXPOSURE TOTAL- CBLR,UNASSIGNED,0.4452
CBLROOBS,FTS,OTH OFF BS EXPOSURE - CBLR,UNASSIGNED,0.4452
CBLRSCLB,FTS,SEC LENT AND BORROW - CBLR,L,0.4452
CBLRT2UF,FTS,INVEST T2 UNCONSOL FI - CBLR,UNASSIGNED,0.4452
CBLRTRAD,FTS,TRAD AST AND TRAD LIAB - CBLR,UNASSIGNED,0.4452
CBLRTRP,FTS,TRAD AST & LIAB PERCENT - CBLR,UNASSIGNED,0.4452
CBLRUCC,FTS,UNCOND CANCEL COMMIT-CBLR,UNASSIGNED,0.4452
CBLRUPCC,FTS,UNUSED POR CND CANCEL COM-CBLR,UNASSIGNED,0.4452
CCCTI1L,FTS,CTL CLR CR DER INV GR-1 YR LS,UNASSIGNED,0.0034
CCCTI1T5,FTS,CTL CLR CR DER INV GR-1 TO 5 YR,UNASSIGNED,0.0034
CCCTIOV5,FTS,CTL CLR CR DER INV GR-OVER 5 YR,UNASSIGNED,0.0034
CCCTS1L,FTS,CTL CLR CR DER NON-INV GR-1 YR,UNASSIGNED,0.0034
CCCTS1T5,FTS,CTL CLR CR DER NON-INV G-1 TO 5,UNASSIGNED,0.0034
CCCTSOV5,FTS,CTL CLR CR DER NON-INV G-OVER 5,UNASSIGNED,0.0034
CCD0,FTS,CENTRAL CLEARED DER - 0% RW,UNASSIGNED,0.0034
CCD100,FTS,CENTRAL CLEARED DER - 100% RW,UNASSIGNED,0.0034
CCD150,FTS,CENTRAL CLEARED DER - 150% RW,UNASSIGNED,0.0034
CCD2,FTS,CENTRAL CLEARED DER - 2% RW,UNASSIGNED,0.0034
CCD20,FTS,CENTRAL CLEARED DER - 20% RW,UNASSIGNED,0.0034
CCD4,FTS,CENTRAL CLEARED DER - 4% RW,UNASSIGNED,0.0034
CCD50,FTS,CENTRAL CLEARED DER - 50% RW,UNASSIGNED,0.0034
CCDCEA,FTS,CENTRAL CLEARED DER - C.E. AMT,UNASSIGNED,0.0034
CCED1L,FTS,CTRL CLR EQUITY DER -1 YR OR LS,C,0.0034
CCED1T5,FTS,CTRL CLR EQUITY DER -1 TO 5 YR,C,0.0034
CCEDOV5,FTS,CTRL CLR EQUITY DER -OVER 5 YR,C,0.0034
CCFXG1L,FTS,CTRL CLEAR FGN EX & GLD-1 YR LS,UNASSIGNED,0.0034
