"RIS Name","Description","Database","Report","FRB Number","Call Names"
"ASDRRES","SOLD W/RECOURSE N/SECUR.- RES","FTS","RC-S","RCONB790 RCFDB790",""
"ASDRTL","SOLD W/RECOURSE N/SECUR-TOT-51","FTS","RC-S","RCONFT10",""
"ASSET","TOTAL ASSETS","FTS","RC-BAL","RCFD2170 RCON2170",""
"ASSET0","ASSETS ASSIGNED TO 0% RW","FTS","RC-R","RCONG630 RCFDG630 RCONB696 RCFDB696",""
"ASSET10","ASSETS ASSIGNED TO 10% RW","FTS","RC-R","RCONS560 RCFDS560",""
"ASSET100","ASSETS ASSIGNED TO 100% RW","FTS","RC-R","RCONG633 RCFDG633 RCONB699 RCFDB699",""
"ASSET150","ASSETS ASSIGNED TO 150% RW","FTS","RC-R","RCONS561 RCFDS561",""
"ASSET20","ASSETS ASSIGNED TO 20% RW","FTS","RC-R","RCONG631 RCFDG631 RCONB697 RCFDB697",""
"ASSET250","ASSETS ASSIGNED TO 250% RW","FTS","RC-R","RCFDS562 RCONS562",""
"ASSET300","ASSETS ASSIGNED TO 300% RW","FTS","RC-R","RCONS563 RCFDS563",""
"ASSET4","ASSETS ASSIGNED TO 4% RW","FTS","RC-R","RCONS559 RCFDS559",""
"ASSET400","ASSETS ASSIGNED TO 400% RW","FTS","RC-R","RCONS564 RCFDS564",""
"ASSET50","ASSETS ASSIGNED TO 50% RW","FTS","RC-R","RCONG632 RCFDG632 RCONB698 RCFDB698",""
"ASSET600","ASSETS ASSIGNED TO 600% RW","FTS","RC-R","RCONS565 RCFDS565",""
"ASSET625","ASSETS ASSIGNED TO 625% RW","FTS","RC-R","RCONS566 RCFDS566",""
"ASSET937","ASSETS ASSIGNED TO 937% RW","FTS","RC-R","RCONS567 RCFDS567",""
"ASSETAG","TOTAL ASSETS-AG LOSS ADJUSTED","FTS","RC-BAL","RCON2170",""
"ASSETCHG","ONE QUARTER ASSET CHANGE","FTS","FTS","",""
"ASSETCON","CONTINGENT ASSETS","FTS","RC-L","",""
"ASSETDOM","TOTAL ASSETS-DOM","FTS","RC-BAL","RCON2192 RCON2170",""
"ASSETELG","ELIGIBLE ASSETS","FTS","RC-BAL","RCFD2387",""
"ASSETFOR","TOTAL ASSETS-FOR","FTS","RC-BAL","",""
"ASSETIBF","TOTAL ASSETS-IBF","FTS","RC-BAL","RCFN2133",""
"ASSETMNT","ASSET MAINTENANCE REQUIREMENT","FTS","RC-BAL","RCFD3343",""
"ASSETPLG","ASSET PLEDGE REQUIREMENT","FTS","RC-BAL","RCFD3349",""
"ASSETRE","ASTS WITH RECOURSE OR CREDIT SUB","FTS","RC-L","",""
"ASSETREC","OFF-B/S ASSETS-RECOURSE","FTS","RC-L","",""
"ASSETTFR","ASSETS-ADJUSTED","FTS","RC-R","",""
"ASSETTR","TRUST ASSETS","FTS","FTS","",""
"ASSLD100","RECOURSE & CR SUB-LOW LVL-100RW","FTS","RC-R","RCONB674 RCFDB674 RCFDB543 RCONB543",""
"ASSLDCEA","RECOURSE &CR SUB LOWLVL-C.E. AMT","FTS","RC-R","RCON2243 RCFD2243 RCFDB542 RCONB542",""
"ASSLDRCR","RECOURSE & CR.SUB-LOW LEVEL-RCR","FTS","RC-R","RCON1727 RCFD1727 RCFDB541 RCONB541",""
"ASSNETDD","ASSETS NETTED FROM DEPOSIT LIAB","FTS","RC-O","RCONA527 RCFDA527",""
"ASST1250","ASSETS ASSIGNED TO 1250% RW","FTS","RC-R","RCONS568 RCFDS568",""
"ASST2","ASSETS ASSIGNED TO 2% RW","FTS","RC-R","RCONS558 RCFDS558",""
"ASTCRSUB","OFF-B/S ASSETS-CREDIT SUBSITIUTE","FTS","RC-L","",""
"ASTNETTM","ASSETS NET FROM TIME & SAVE ACCT","FTS","RC-O","RCONA528 RCFDA528",""
"ASTSERV","ASSETS SERVICED FOR OTHERS-TOT","FTS","RC-S","RCONFT12",""
"ATOTFV","TOTAL ASSETS FV ON BS","FTS","RC-Q","RCFDG502 RCONG502",""
"ATOTL1FV","TOTAL ASSETS LVL 1 FV MEASURE","FTS","RC-Q","RCFDG504 RCONG504",""
"ATOTL2FV","TOTAL ASSETS LVL 2 FV MEASURE","FTS","RC-Q","RCFDG505 RCONG505",""
"ATOTL3FV","TOTAL ASSETS LVL 3 FV MEASURE","FTS","RC-Q","RCFDG506 RCONG506",""
"ATOTNTFV","TOTAL ASSETS NET DET FV","FTS","RC-Q","RCFDG503 RCONG503",""
"ATRR","ALLOCATED TRSFR RISK RES-LOANS","FTS","RI-B","RIADC435",""
"ATRRES","ALLOCATED TRANSFER RISK RESERVE","FTS","RC-R","RCFD3128 RCON3128",""
"AUDIT","EXTERNAL AUDIT TYPE - PRIOR YR","FTS","RC-BAL","RCFD6724 RCON6724",""
"AVASSADJ","ADJ TO AVG TOT ASS FOR FIN SUBS","FTS","RC-R","RCFDB505 RCONB505",""
"AVASSET","AVG TOTAL ASSETS","FTS","RC-K","RCFD3368 RCON3368",""
"AVASSETC","AVG TOTAL ASSETS CONSOL-ASSMT","FTS","RC-O","RCFDK652 RCONK652",""
"AVASSETW","TOTAL ASSETS-LEVERAGE CAP-RC-R","FTS","RC-R","RCFDL138 RCONL138 RCFDA224 RCONA224 RCFAA224                                            RCOAA224",""
"AVBBKDED","AVG BNKRS BANK DED-ASSMT","FTS","RC-O","RCFDK657 RCONK657",""
"AVBBKDLM","AVG BNKRS BNK DED LMT-ASSMT","FTS","RC-O","RCFDK658 RCONK658",""
"AVCBKDED","AVG CUSTODIAL BNK DED-ASSMT","FTS","RC-O","RCFDK660 RCONK660",""
"AVCBKDLM","AVG CUSTODIAL BNK DED LMT-ASSMT","FTS","RC-O","RCFDK661 RCONK661",""
"AVCHBALI","AVG INTEREST-BEARING BANK BAL","FTS","RC-K","RCFD3381 RCON3381",""
"AVDIFOR","AVG INTEREST BEARING DEP-FOR","FTS","RC-K","RCFN3404",""
"AVDITRAN","AVG INTEREST-BEARING TRANS ACCTS","FTS","RC-K","RCON3485",""
"AVDMMDA","AVG NONTRANS ACCT-MMDA","FTS","RC-K","RCON3486",""
"AVDNT100","AVG NONTRANS TIME GT $250,000","FTS","RC-K","RCONHK17 RCON3345 RCONA514",""
"AVDNTOTH","AVG NONTRANS TIME LE $250,000","FTS","RC-K","RCONHK16 RCON3469 RCONA529",""
"AVDOTHSV","AVG NONTRANS ACCT-OTH SAVING DEP","FTS","RC-K","RCON3487",""
"AVFREPO","AVG FED FUNDS & REPOS SOLD","FTS","RC-K","RCFD3365 RCON3365",""
"AVFREPP","AVG FED FUNDS & REPOS PURCHASED","FTS","RC-K","RCFD3353 RCON3353",""
"AVLN","AVG LOANS","FTS","RC-K","RCON3360",""
"AVLNAG","AVG AGRICULTURAL LOANS","FTS","RC-K","RCON3386",""
"AVLNAGSM","AVG AG LOANS*SMALL BKS","FTS","RC-K","RCON3379",""
"AVLNCI","AVG C&I LOANS","FTS","RC-K","RCON3387 RCON3289 RCON3467",""
"AVLNCON","AVG CONSUMER LOANS","FTS","RC-K","RCON3388",""
"AVLNCONO","AVG OTHER LNS TO INDIVIDUALS","FTS","RC-K","RCONB562 RCFDB562",""
"AVLNCRCD","AVG CREDIT CARD LOANS","FTS","RC-K","RCON3288 RCONB561",""
"AVLNDOM","AVG LOANS-DOM","FTS","RC-K","RCON3360",""
"AVLNFOR","AVG LOANS-FOR","FTS","RC-K","RCFN3360",""
"AVLNIL","AVG INSTALLMENT LOANS","FTS","RC-K","RCON3287",""
"AVLNLS","AVG LOANS AND LEASES","FTS","RC-K","RCON3360",""
"AVLNMUNI","AVG MUNI LOANS","FTS","RC-K","RCON3389",""
"AVLNRE","AVG REAL ESTATE LOANS","FTS","RC-K","RCON3385 RCON3286",""
"AVLNREOT","AVG RE LOANS OTHER","FTS","RC-K","RCON3466",""
"AVLNRERS","AVG RE 1-4 FAMILY LOANS","FTS","RC-K","RCON3465",""
"AVLS","AVG LEASES","FTS","RC-K","RCFD3484 RCON3484",""
"AVMMLF","QTRLY AVG AST PURCH UNDER MMLF","FTS","RC-M","RCONLL58",""
"AVOTHBOR","AVG OTHER BORROWED MONEY","FTS","RC-K","RCFD3355 RCON3355",""
"AVPPPPLG","QTRLY AVG PPP LN PLG PPPLF","FTS","RC-M","RCONLL57",""
"AVSAVDP","AVG - SAVINGS DEPOSITS","FTS","RC-K","RCFDB563 RCONB563",""
"AVSCDEBT","AVG OTHER DEBT SECURITIES","FTS","RC-K","RCFD3647 RCON3647 RCON3462",""
"AVSCEQ","AVG EQUITY SECURITIES","FTS","RC-K","RCFD3648 RCON3648",""
"AVSCMTGB","AVG-MORTGAGE BACKED SECURITIES","FTS","RC-K","RCFDB559 RCONB559",""
"AVSCOTH","AVG-ALL OTH DEBT & EQ SEC","FTS","RC-K","RCFDB560 RCONB560",""
"AVSCUS","AVG U.S. TREASURY & AGENCY","FTS","RC-K","RCFD3382 RCON3382 RCON3649 RCON3463",""
"AVSCUSTA","AVG US TREAS & AGENCY (EXCL MBS)","FTS","RC-K","RCFDB558 RCONB558",""
"AVTANEQ","AVG TANGIBLE EQUITY-ASSMT","FTS","RC-O","RCFDK654 RCONK654",""
"AVTRADE","AVG TRADING ACCOUNTS","FTS","RC-K","RCFD3401 RCON3401",""
"BKPREM","PREMISES AND FIXED ASSETS","FTS","RC-BAL","RCFD2145 RCON2145",""
"BRO","BROKERED DEP","FTS","RC-E","RCON2365",""
"BROINS","BROKERED DEP-INSURED","FTS","RC-E","RCONHK05",""
"BROINS1Y","BROKERED DEP $250 OR L-1YR OR L","FTS","RC-E","RCONHK06",""
"BROINSLG","BROKERED DEP-INSURED-LARGE","FTS","RC-E","RCON2344 RCONJ472",""
"BROINSSM","BROKERED DEP-INSURED-UNDER $100M","FTS","RC-E","RCON2343",""
"BROLG1YR","BROKERED DEP OVER THE INS LMT-1YR OR LESS","FTS","RC-E","RCONA244 RCONK220",""
"BROMD1YR","BROKERED DEP $100-$250-1YR OR LESS","FTS","RC-E","RCONK219",""
"BRONINS","BROKERED DEP-UNINSURED","FTS","RC-E","",""
"BRORECIP","RECIPROCAL BROKERED DEPOSITS","FTS","RC-O","RCONG803",""
"BRORECPC","RECIP BROKERED DEP-FULLY CONSOL","FTS","RC-O","RCONL190",""
"BROSM1YR","BROKERED DEP LT $100 - LT 1YR","FTS","RC-E","RCONA243",""
"CALL_FORM","REPORT FORM","FTS","FTS","",""
"CALLFORM","REPORT FORM","FTS","FTS","",""
"CBLRAPDL","ACL PCD LNLS - CBLR","FTS","RC-R","RCFAJJ30 RCOAJJ30",""
"CBLRAPDO","ACL PCD OFA - CBLR","FTS","RC-R","RCFAJJ32 RCOAJJ32",""
"CBLRAPDS","ACL PCD HTM SEC - CBLR","FTS","RC-R","RCFAJJ31 RCOAJJ31",""
"CBLRAST","TOTAL ASSETS - CBLR","FTS","RC-R","RCFA2170 RCOA2170",""
"CBLRATRR","ATR RESERVE - CBLR","FTS","RC-R","RCFA3128 RCOA3128",""
"CBLRIND","CBLR INDICATOR","FTS","RC-R","RCOALE74",""
"CBLROBSP","TOT OFF BS EXPOS PERCENT-CBLR","FTS","RC-R","RCFAKX83 RCOAKX83",""
"CBLROBST","OFF BS EXPOSURE TOTAL- CBLR","FTS","RC-R","RCFAKX82 RCOAKX82",""
"CBLROOBS","OTH OFF BS EXPOSURE - CBLR","FTS","RC-R","RCFAKX81 RCOAKX81",""
"CBLRSCLB","SEC LENT AND BORROW - CBLR","FTS","RC-R","RCFAKX80 RCOAKX80",""
"CBLRT2UF","INVEST T2 UNCONSOL FI - CBLR","FTS","RC-R","RCFALB61 RCOALB61",""
"CBLRTRAD","TRAD AST AND TRAD LIAB - CBLR","FTS","RC-R","RCFAKX77 RCOAKX77",""
"CBLRTRP","TRAD AST & LIAB PERCENT - CBLR","FTS","RC-R","RCFAKX78 RCOAKX78",""
"CBLRUCC","UNCOND CANCEL COMMIT-CBLR","FTS","RC-R","RCFAS540 RCOAS540",""
"CBLRUPCC","UNUSED POR CND CANCEL COM-CBLR","FTS","RC-R","RCFAKX79 RCOAKX79",""
"CCCTI1L","CTL CLR CR DER INV GR-1 YR LS","FTS","RC-R","RCFDS609 RCONS609",""
"CCCTI1T5","CTL CLR CR DER INV GR-1 TO 5 YR","FTS","RC-R","RCFDS610 RCONS610",""
"CCCTIOV5","CTL CLR CR DER INV GR-OVER 5 YR","FTS","RC-R","RCFDS611 RCONS611",""
"CCCTS1L","CTL CLR CR DER NON-INV GR-1 YR","FTS","RC-R","RCFDS612 RCONS612",""
"CCCTS1T5","CTL CLR CR DER NON-INV G-1 TO 5","FTS","RC-R","RCFDS613 RCONS613",""
"CCCTSOV5","CTL CLR CR DER NON-INV G-OVER 5","FTS","RC-R","RCFDS614 RCONS614",""
"CCD0","CENTRAL CLEARED DER - 0% RW","FTS","RC-R","RCONS550 RCFDS550",""
"CCD100","CENTRAL CLEARED DER - 100% RW","FTS","RC-R","RCONS556 RCFDS556",""
"CCD150","CENTRAL CLEARED DER - 150% RW","FTS","RC-R","RCONS557 RCFDS557",""
"CCD2","CENTRAL CLEARED DER - 2% RW","FTS","RC-R","RCONS551 RCFDS551",""
"CCD20","CENTRAL CLEARED DER - 20% RW","FTS","RC-R","RCONS554 RCFDS554",""
"CCD4","CENTRAL CLEARED DER - 4% RW","FTS","RC-R","RCONS552 RCFDS552",""
"CCD50","CENTRAL CLEARED DER - 50% RW","FTS","RC-R","RCONS555 RCFDS555",""
"CCDCEA","CENTRAL CLEARED DER - C.E. AMT","FTS","RC-R","RCONS549 RCFDS549",""
"CCED1L","CTRL CLR EQUITY DER -1 YR OR LS","FTS","RC-R","RCFDS615 RCONS615",""
"CCED1T5","CTRL CLR EQUITY DER -1 TO 5 YR","FTS","RC-R","RCFDS616 RCONS616",""
"CCEDOV5","CTRL CLR EQUITY DER -OVER 5 YR","FTS","RC-R","RCFDS617 RCONS617",""
"CCFXG1L","CTRL CLEAR FGN EX & GLD-1 YR LS","FTS","RC-R","RCFDS606 RCONS606",""
"CCFXG1T5","CTRL CLR FGN EX & GLD-1 TO 5 YR","FTS","RC-R","RCFDS607 RCONS607",""
"CCFXGOV5","CTRL CLR FGN EX & GLD-OVER 5 YR","FTS","RC-R","RCFDS608 RCONS608",""
"CCIDOUBT","CRIT & CLS ITMS-DBTFL-ASSMT","FTS","RC-O","RCFDK665 RCONK665",""
"CCILOSS","CRIT AND CLASS ITMS -LOSS-ASSMT","FTS","RC-O","RCFDK666 RCONK666",""
"CCISPMEN","CRIT & CLS ITMS SP MEN-ASSMT","FTS","RC-O","RCFDK663 RCONK663",""
"CCISUBST","CRIT & CLS ITMS-SUBST-ASSMT","FTS","RC-O","RCFDK664 RCONK664",""
"CCOTH1L","CTRL CLR OTHER DER - 1 YR OR LS","FTS","RC-R","RCFDS621 RCONS621",""
"CCOTH1T5","CTRL CLR OTHER DER - 1 TO 5 YR","FTS","RC-R","RCFDS622 RCONS622",""
"CCOTHOV5","CTRL CLR OTHER DER - OVER 5 YR","FTS","RC-R","RCFDS623 RCONS623",""
"CCPM1L","CTRL CLR PREC METAL DER-1 YR LS","FTS","RC-R","RCFDS618 RCONS618",""
"CCPM1T5","CTRL CLR PREC METAL DER-1 TO 5","FTS","RC-R","RCFDS619 RCONS619",""
"CCPMOV5","CTRL CLR PREC METAL DER-OVER 5","FTS","RC-R","RCFDS620 RCONS620",""
"CCRT1L","CTRL CLEAR INT RATE -1 YR OR LS","FTS","RC-R","RCFDS603 RCONS603",""
"CCRT1T5","CTRL CLEAR INT RATE -1 TO 5 YR","FTS","RC-R","RCFDS604 RCONS604",""
"CCRTOV5","CTRL CLEAR INT RATE -OVER 5 YR","FTS","RC-R","RCFDS605 RCONS605",""
"CD1T3","TIME DEP GT 250 * 1-3 YEARS","FTS","RC-E","RCONA586 RCONHK14",""
"CD1T3S","TIME DEP 250 OR L * 1-3 YEARS","FTS","RC-E","RCONA581 RCONHK09",""
"CD1YR","TOTAL CD OVER THE INS LMT 1YR OR LESS","FTS","RC-E","RCONA242 RCONK222",""
"CD1YRMED","TOTAL CD $100-$250 1YR OR LESS-MED","FTS","RC-E","RCONK221",""
"CD3LES","TIME DEP GT 250 * 3 MONS OR LESS","FTS","RC-E","RCONA584 RCONHK12",""
"CD3LESS","TIME DEP 250 OR L * 3 MO OR LESS","FTS","RC-E","RCONA579 RCONHK07",""
"CD3T12","TIME DEP GT 250 * 3-12 MONS","FTS","RC-E","RCONA585 RCONHK13",""
"CD3T12S","TIME DEP 250 OR L * 3-12 MONS","FTS","RC-E","RCONA580 RCONHK08",""
"CDLES1S","CD $250 OR L 1 YR OR LESS*TOTAL","FTS","RC-E","RCONA241 RCONHK11",""
"CDOV3","TIME DEP GT 250 * OVER 3 YEARS","FTS","RC-E","RCONA587 RCONHK15",""
"CDOV3S","TIME DEP 250 OR L * OVER 3 YEARS","FTS","RC-E","RCONA582 RCONHK10",""
"CECLTAMT","CECL TRANSITIONAL AMT LNLS-HFI","FTS","RC-O","RCFDMW53 RCONMW53",""
"CECLTE","CECL TRANSITION ELECTION","FTS","RC-R","RCOAJJ29",""
"CERTCONS","PARENT CERT NUMBER - CONSOLIDATE","FTS","RC-O","RCONA545 RCFDA545",""
"CHBAL","CASH & DUE FROM DEPOSITORY INST","FTS","RC-BAL","RCON0010 RCFD0010",""
"CHBAL0","CASH & BAL 0% RW","FTS","RC-R","RCOND958 RCFDD958 RCONB600 RCFDB600",""
"CHBAL100","CASH & BAL - 100% RW","FTS","RC-R","RCOND960 RCFDD960 RCONB602 RCFDB602",""
"CHBAL150","CASH & BAL - 150% RW","FTS","RC-R","RCFDS398 RCONS398",""
"CHBAL20","CASH & BAL - 20% RW","FTS","RC-R","RCOND959 RCFDD959 RCONB601 RCFDB601",""
"CHBAL50","CASH & BAL - 50% RW","FTS","RC-R","RCFDS397 RCONS397",""
"CHBALDOM","CASH & DUE FROM DEP INST-DOM","FTS","RC-A","RCON0010",""
"CHBALFOR","CASH & DUE FROM DEP INST-FOR","FTS","RC-A","",""
"CHBALI","INTEREST-BEARING CASH & DUE","FTS","RC-BAL","",""
"CHBALNI","NONINTEREST-BEARING CASH & DUE","FTS","RC-BAL","RCFD0081 RCON0081",""
"CHBALNRW","CASH AND BAL DUE-ADJ TO COL A","FTS","RC-R","RCONS396 RCFDS396 RCONC869 RCFDC869",""
"CHBALRCR","CASH & BAL BS - RC-R COL A","FTS","RC-R","RCFDD957 RCOND957",""
"CHCIC","CASH ITEMS, CURRENCY & COIN","FTS","RC-A","RCFD0022",""
"CHCICDOM","CASH ITEMS, CURRENCY & COIN-DOM","FTS","RC-A","",""
"CHCICFOR","CASH ITEMS,CURRENCY & COIN-FOR","FTS","RC-A","",""
"CHCOIN","CURRENCY & COIN","FTS","RC-A","RCON0080",""
"CHFRB","BAL DUE FROM FRB","FTS","RC-A","RCFD0090 RCON0090",""
"CHFRBDOM","BAL DUE FROM FRB-DOM","FTS","RC-A","RCON0090",""
"CHFRBFOR","BAL DUE FROM FRB-FOR","FTS","RC-A","",""
"CHITEM","CASH ITEM","FTS","RC-A","RCON0020 RCON0058",""
"CHNUS","BAL DUE FROM BK FOR COUNTRY","FTS","RC-A","RCFD0070 RCON0070",""
"CHNUSDOM","BAL DUE FROM BK FOR COUNTRY-DOM","FTS","RC-A","RCON0070",""
"CHNUSFBK","BAL DUE FROM FOR BR OF OTH US BK","FTS","RC-A","RCFD0073 RCON0073",""
"CHNUSFOR","BAL DUE FROM BK FOR COUNTRY-FOR","FTS","RC-A","",""
"CHNUSOBK","BAL DUE FROM OTH COM BKS IN U.S.","FTS","RC-A","RCFD0074 RCON0074",""
"CHUS","BAL DUE FROM DEP INST U.S.","FTS","RC-A","RCFD0082 RCON0082",""
"CHUSDOM","BAL DUE FROM DEP INST U.S.-DOM","FTS","RC-A","RCON0082",""
"CHUSFBK","BAL DUE FROM U.S. BR OF FOR BKS","FTS","RC-A","RCFD0083 RCON0083",""
"CHUSFOR","BAL DUE FROM DEP INST U.S.-FOR","FTS","RC-A","",""
"CHUSOBK","BAL DUE FROM OTH COM BKS IN U.S.","FTS","RC-A","RCFD0085 RCON0085",""
"CINSSB","TOTAL ASSETS CAPTIVE INS SUB","FTS","RC-BAL","RCFDK193 RCONK193",""
"CM1LES","COMMODITY CONTRAC-1 YEAR OR LESS","FTS","RC-R","RCFD8777 RCON8777",""
"CM1T5","COMMODITY CONTRACTS-1 TO 5 YARS","FTS","RC-R","RCFD8778 RCON8778",""
"CMEXPOC","COMMODITY-PURCHASED OPTION-TRADE","FTS","RC-L","RCFD8708 RCON8708",""
"CMEXWOC","COMMODITY-WRITTEN OPTIONS-TRADE","FTS","RC-L","RCFD8704 RCON8704",""
"CMFOC","COMMODITY-FORWARD CONTRACTS","FTS","RC-L","RCFD8700 RCON8700",""
"CMFUC","COMMODITY-FUTURES CONTRACTS","FTS","RC-L","RCFD8696 RCON8696",""
"CMMKNV","COMMODITY-NOT TRADE-MTM-NEG-VAL","FTS","RC-L","RCFD8748 RCON8748",""
"CMMKPV","COMMODITY-NOT TRADE-MTM-POS-VAL","FTS","RC-L","RCFD8744 RCON8744",""
"CMNVMK","COMMODITY-MARKED-TO-MARKET","FTS","RC-L","RCFD8728 RCON8728",""
"CMNVS","COMMODITY & OTHER SWAPS","FTS","RC-L","RCFD8720 RCON8720",""
"CMNVTR","COMMODITY-TOTAL-TRADE","FTS","RC-L","RCFD8724 RCON8724",""
"CMOTCPOC","COMMODITY-PURCHASED OPTIONS-OTC","FTS","RC-L","RCFD8716 RCON8716",""
"CMOTCWOC","COMMODITY-WRITTEN OPTIONS-OTC","FTS","RC-L","RCFD8712 RCON8712",""
"CMOVR1","COMMODITY CONTRACTS-OVER 1 YEAR","FTS","RC-R","",""
"CMOVR5","COMMODITY CONTRACTS-OVER 5 YEARS","FTS","RC-R","RCFD8779 RCON8779",""
"CMTRNV","COMMODITY-TRADE-NEG-VALUE","FTS","RC-L","RCFD8740 RCON8740",""
"CMTRPV","COMMODITY-TRADE-POS-VALUE","FTS","RC-L","RCFD8736 RCON8736",""
"CONSUBDD","DEMAND DEP OF CONSOLIDATED SUBS","FTS","RC-O","RCON2211",""
"CONSUBIA","INT ACC ON DEP OF CONSOL SUBS","FTS","RC-O","RCON5514",""
"CONSUBTS","TIM&SAV DEP OF CONSOLIDATED SUBS","FTS","RC-O","RCON2351",""
"CPEXPL20","CTR PTY EXPO-SUM 20 LRGST-ASSMT","FTS","RC-O","RCFDK674 RCONK674",""
"CPEXPOL","CTR PTY LRGST EXPO-ASSMT","FTS","RC-O","RCFDK673 RCONK673",""
"CRAG","AGRICULTURAL LOAN RECOVERIES","FTS","RI-B","RIAD4665",""
"CRAGSM","AG LOAN RECOVERIES*SMALL BKS","FTS","RI-B","RIAD4269 RIAD4665",""
"CRAUTO","AUTO LOANS - RECOVERIES","FTS","RI-B","RIADK133",""
"CRCASH","CASH, DEPS & SECS RECOVERIES","FTS","RI-B","",""
"CRCI","COMMERCIAL LOAN RECOVERIES","FTS","RI-B","RIAD4265 RIAD4453 RIAD4608",""
"CRCINUS","NON-U.S.COMMERCIAL LN RECOVERIES","FTS","RI-B","RIAD4618",""
"CRCIUS","U.S. COMMERCIAL LN RECOVERIES","FTS","RI-B","RIAD4617 RIAD4265 RIAD4453",""
"CRCOMRE","COMMERCIAL RE LN RECOVERIES","FTS","RI-B","RIAD5410 RIAD5444",""
"CRCON","CONSUMER LOAN RECOVERIES","FTS","RI-B","RIAD4609",""
"CRCONOTH","OTHER CONSUMER LOAN RECOVERIES","FTS","RI-B","RIAD4667 RIAD4259 RIADB517 RIADK206",""
"CRCRCD","CREDIT CARD LOAN RECOVERIES","FTS","RI-B","RIAD4666 RIAD4263 RIADB515",""
"CRDEP","DEPOSITORY INST LOAN RECOVERIES","FTS","RI-B","RIAD4482",""
"CRDEPNUS","FOREIGN DEPS INST LN RECOVERIES","FTS","RI-B","RIAD4664",""
"CRDEPUS","U.S. DEPOSITORY INST LN RECOVERS","FTS","RI-B","RIAD4663",""
"CREINSSB","TOTAL ASSETS CAPTIVE REINS SUB","FTS","RC-BAL","RCFDK194 RCONK194",""
"CRFORGV","FOREIGN GOVERNMENT LN RECOVERIES","FTS","RI-B","RIAD4627",""
"CRINVSUB","INV IN CORP & SUBS RECOVERIES","FTS","RI-B","",""
"CRLNLS","TOTAL LN&LS RECOVERIES","FTS","RI-B","RIAD4605",""
